"","x"
"1",0
"2",0
"3",0
"4",0.373955480181858
"5",2.16128494574202
"6",2.977094432961
"7",7.07841834669386
"8",29.2824756500688
"9",109.360098085826
"10",148.887914736944
"11",136.129666475915
"12",97.4704579139082
"13",131.378127074139
"14",127.847238872281
"15",134.611536895153
"16",135.919893214066
"17",92.8857199986934
"18",84.8965577044883
"19",92.5294191366912
"20",76.2841854492722
"21",35.3664056766436
"22",28.0959022046147
"23",17.0258691342575
"24",3.732682414188
"25",4.54860292609811
"26",0
"27",0
"28",0
"29",0
"30",0
"31",10.0687158332916
"32",35.3723286600542
"33",103.967551092896
"34",152.721428816946
"35",142.495124946711
"36",80.8533995081224
"37",137.366975210828
"38",123.188099213357
"39",111.313642038645
"40",132.576280680079
"41",124.81572377764
"42",83.6558664054918
"43",85.7854766579525
"44",58.9298873958192
"45",31.7483013248123
"46",13.6499911374082
"47",2.71440676410873
"48",0
"49",2.20968100421039
"50",0
"51",0
"52",0
"53",0
"54",0
"55",5.45231710824272
"56",20.2038132004375
"57",80.7390273331186
"58",126.609104400499
"59",108.625129683259
"60",128.618489153216
"61",116.026537859404
"62",129.410407325436
"63",108.314833088685
"64",151.857600062246
"65",113.414851922392
"66",109.498843301137
"67",93.7930357168485
"68",77.6825799998965
"69",48.4294293487285
"70",25.4018924069197
"71",11.6211156799668
"72",0.780385448671396
"73",2.99784099898472
"74",0.292351867792113
"75",0
"76",0
"77",0
"78",0
"79",3.07607697138861
"80",14.8323356470263
"81",74.5536610810576
"82",125.194159446815
"83",128.013963241012
"84",102.606068619822
"85",126.561306424527
"86",133.940419809152
"87",140.145573092139
"88",120.328616064818
"89",93.843333854131
"90",65.8306308049135
"91",57.1256675058139
"92",54.6138472830979
"93",67.3698459822696
"94",32.6854095197727
"95",8.56084751658242
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",2.54933266343452
"104",16.4909903877459
"105",48.3766595668341
"106",99.4060765665324
"107",87.2689395329288
"108",70.6104045844124
"109",127.832332870739
"110",121.377722476328
"111",123.245957214933
"112",110.979582685338
"113",69.3494065595903
"114",64.3365870865684
"115",47.0635908692237
"116",18.4439692271222
"117",4.26455521014448
"118",0
"119",0
"120",0
