"","x"
"640",3
"641",7
"642",3
"643",1
"644",0
"645",0
"646",0
"647",0
"648",1
"649",6
"650",2
"651",1
"652",0
"653",0
"654",0
"655",1
"656",2
"657",0
"658",0
"659",6
"660",14
"661",0
"662",0
"663",8
"664",3
"665",7
"666",3
"667",2
"668",0
"669",0
"670",0
"671",0
"672",2
"673",0
"674",0
"675",0
"676",0
"677",1
"678",2
"679",6
"680",22
"681",97
"682",117
"683",154
"684",94
"685",131
"686",115
"687",103
"688",123
"689",97
"690",78
"691",90
"692",87
"693",36
"694",11
"695",3
"696",0
"697",5
"698",0
"699",0
"700",0
"701",0
"702",0
"703",11
"704",38
"705",78
"706",152
"707",168
"708",69
"709",148
"710",138
"711",108
"712",105
"713",116
"714",97
"715",97
"716",71
"717",63
"718",39
"719",12
"720",2
"721",3
"722",0
"723",0
"724",0
"725",0
"726",0
"727",6
"728",25
"729",78
"730",135
"731",125
"732",128
"733",110
"734",120
"735",110
"736",152
"737",118
"738",114
"739",94
"740",74
"741",29
"742",11
"743",3
"744",0
"745",4
"746",1
"747",0
"748",0
"749",0
"750",0
"751",4
"752",19
"753",64
"754",134
"755",144
"756",98
"757",122
"758",124
"759",120
"760",133
"761",110
"762",74
"763",43
"764",42
"765",42
"766",21
"767",7
"768",2
"769",3
"770",0
"771",0
"772",0
"773",0
"774",0
"775",3
"776",19
"777",59
"778",104
"779",92
"780",74
"781",151
"782",121
"783",114
"784",97
"785",54
"786",54
"787",45
"788",24
"789",14
"790",2
"791",0
"792",0
"793",3
"794",0
"795",0
"796",0
"797",0
"798",0
"799",1
"800",2
"801",0
"802",0
"803",8
"804",12
"805",0
"806",0
"807",7
"808",2
"809",6
"810",3
"811",1
"812",0
"813",0
"814",0
"815",0
"816",2
"817",6
"818",3
"819",1
"820",0
"821",0
"822",0
"823",2
"824",2
"825",0
"826",0
"827",7
"828",11
"829",0
"830",0
"831",7
"832",3
"833",7
"834",3
"835",1
"836",0
"837",0
"838",0
"839",0
"840",1
"841",0
"842",0
"843",0
"844",0
"845",1
"846",2
"847",8
"848",29
"849",105
"850",128
"851",128
"852",100
"853",119
"854",136
"855",123
"856",122
"857",85
"858",80
"859",86
"860",70
"861",35
"862",11
"863",4
"864",0
"865",4
"866",0
"867",0
"868",0
"869",0
"870",0
"871",11
"872",33
"873",102
"874",134
"875",174
"876",88
"877",147
"878",120
"879",118
"880",105
"881",108
"882",100
"883",91
"884",66
